team,x,y,fgmade
Team A,-5,26.4,0
Team A,-0.8,1.2,1
Team A,-13.9,9.5,1
Team A,-5.4,26.2,0
Team A,-4.9,14.5,1
Team A,-10.9,23.9,1
Team A,-12,23.6,1
Team A,-7.3,5.7,0
Team A,-2.8,11,1
Team A,1.4,1.6,0
Team A,-0.3,2.3,0
Team A,1.8,1.9,0
Team A,17.4,1.8,0
Team A,0.6,15.9,0
Team A,6.3,5.9,1
Team A,0.5,4.1,1
Team A,0.2,2.1,1
Team A,-8.2,24.8,0
Team A,0.6,25.6,1
Team A,0.6,6,0
Team A,9.3,15.9,0
Team A,16.8,18.4,0
Team A,-2.9,5.9,1
Team A,15.3,9.3,1
Team A,14.3,15.7,1
Team A,10.9,23.9,1
Team A,13.9,14,0
Team A,15.1,0.4,1
Team A,14.9,11.9,0
Team A,0.8,0.7,1
Team A,-2.2,11.5,0
Team A,4.7,12.7,0
Team A,23.1,-1.2,0
Team A,17,5.2,1
Team A,12.5,21.9,0
Team A,13.1,22.8,1
Team A,-22.3,-0.8,1
Team A,-1.2,1.1,1
Team A,-23.9,7.8,1
Team A,0.2,3.1,1
Team A,-12.5,5.8,0
Team A,-0.2,0.5,1
Team A,3.3,20.9,1
Team A,0.8,0.5,0
Team A,0.5,16,1
Team A,-3.4,27.2,0
Team A,-10.5,23,0
Team A,-0.2,3.6,1
Team A,1.4,1.4,1
Team A,-0.6,0.5,1
Team A,0.2,3.1,1
Team A,6.5,13.8,0
Team A,10.6,22.8,0
Team A,1.3,8.2,0
Team A,-10.7,3.9,1
Team A,-10.5,22.6,0
Team A,7.4,24.4,1
Team A,3.6,1.4,1
Team A,0.5,1,1
Team A,-12.2,17,1
Team A,12.5,22.4,0
Team A,4.2,18.5,0
Team A,0.5,0.1,1
Team A,7.4,19.7,1
Team A,9.5,12.8,0
Team A,6.7,24.1,0
Team A,0,-0.5,0
Team A,0.7,3.1,1
Team A,1.5,2.1,1
Team A,-2.3,1.7,1
Team A,0.5,18,0
Team A,-0.1,2.5,0
Team A,-18.3,2,0
Team A,8.3,20.4,1
Team A,-13.1,3,0
Team A,-6.5,17.3,0
Team A,-0.3,4.1,1
Team A,0.2,1.8,1
Team A,-1.7,17.3,1
Team A,-1.1,1.2,1
Team A,-0.3,6.3,0
Team A,0.2,0.5,1
Team A,2.9,1.4,1
Team A,-2.4,1.4,1
Team A,-0.6,0.7,1
Team A,-0.8,2.1,0
Team A,-0.7,1.2,1
Team A,1.2,1.2,0
Team A,12.1,13.9,0
Team A,-14.7,8.9,1
Team A,-2.4,5.4,0
Team A,-0.3,2.6,0
Team A,13.3,1.7,1
Team A,2.9,3.3,0
Team A,-20.6,13.9,1
Team A,13,17.5,0
Team A,1.5,1.7,1
Team A,-17.4,5.4,0
Team A,0.6,1.5,1
Team A,-22.9,4.5,1
Team A,2.2,0.8,1
Team A,-3.6,18.6,0
Team A,8.2,18.8,0
Team A,-0.9,0.8,1
Team A,2.9,24.9,0
Team A,-18.2,22.1,0
Team A,7.6,25.1,1
Team A,-2,1.4,0
Team A,0.2,1.5,1
Team A,-9.6,15.7,1
Team A,3.3,21.7,0
Team A,3.9,24.6,0
Team A,-11.3,18.5,0
Team A,-9.8,24.3,0
Team A,-6.9,24.9,0
Team A,0.4,0.3,1
Team A,22.6,9,1
Team A,1.4,25.1,0
Team A,-22.8,4.6,1
Team A,0.6,0.4,0
Team A,18.2,16.8,1
Team A,-14.3,20.9,0
Team A,23.4,4.5,0
Team A,16.3,20.4,0
Team A,23.1,2.3,0
Team A,23.2,2.4,0
Team A,-16.5,20,1
Team A,-0.6,0.9,1
Team A,-16.3,19.3,0
Team A,-1.3,1,1
Team A,-3,15.9,1
Team A,22.4,5.5,1
Team A,20.1,13.5,0
Team A,13.5,21.3,0
Team A,-22.9,0.6,1
Team A,12.2,2.6,0
Team A,9.8,12.6,0
Team A,22.7,3.8,0
Team A,7.1,3,0
Team A,-19.1,2.4,1
Team A,0,-0.5,1
Team A,0,-0.5,0
Team A,11.3,25.1,0
Team A,15.4,-0.2,1
Team A,-7.9,14.1,0
Team A,-9.1,11.4,1
Team A,-9.8,25,0
Team A,-4.8,25.4,0
Team A,-12.8,16.8,0
Team A,-9.3,20.8,0
Team A,1.2,0.2,1
Team A,-13.3,20.8,0
Team A,-17.3,19.1,1
Team A,10,17.1,0
Team A,-3,1.9,1
Team A,0.2,1.5,0
Team A,5.2,26.4,1
Team A,19.9,1.6,0
Team A,7.7,18.7,0
Team A,0.6,19.7,0
Team A,-12.5,0.3,0
Team A,-10.6,6.8,1
Team A,14.4,8.9,0
Team A,-3.8,4.6,0
Team A,6.5,17.9,0
Team A,-8.9,8.3,0
Team A,3.2,15.2,1
Team A,6.2,25.8,0
Team A,13.5,4.1,0
Team A,15.3,20.2,1
Team A,7.1,24.7,0
Team A,0.7,0.3,1
Team A,3.3,6.7,1
Team A,0.8,0.6,0
Team A,0,-0.5,1
Team A,-1,-0.4,1
Team A,0,-0.5,0
Team A,-0.1,1.5,0
Team A,2.2,4.7,0
Team A,0.9,0.3,0
Team A,0.1,0.3,1
Team A,-0.7,18,0
Team A,2.2,1.5,0
Team A,8.9,8.6,1
Team A,-13.9,21.5,0
Team A,-7.4,15.2,0
Team A,10.3,14.5,0
Team A,2.7,6.3,0
Team A,6.9,15.2,1
Team A,13.2,23.9,0
Team A,-13.1,22.6,0
Team A,-2.4,1.4,1
Team A,19.7,16.5,0
Team A,-23.4,-1.1,0
Team A,23.8,0.8,1
Team A,14.1,21.8,0
Team A,-22.1,1.2,1
Team A,-2.8,26.6,0
Team A,-14.6,20.2,1
Team A,-20.5,15.2,0
Team A,22.3,6.2,0
Team A,-3.3,3.8,1
Team A,0.9,0.8,0
Team A,-19.1,12.6,0
Team A,-16.3,19.5,0
Team A,3.1,3.5,0
Team A,-6.7,25.5,0
Team A,-23,0.8,1
Team A,9.2,23.4,0
Team A,11.9,3.3,1
Team A,22,15.9,1
Team A,1.9,12.4,1
Team A,1.3,0.4,0
Team A,2.7,8.4,1
Team A,-2.7,4.1,1
Team A,1.3,0.9,1
Team A,-19,17.2,0
Team A,1.8,0.8,1
Team A,-1.1,0.7,0
Team A,9.5,10.3,0
Team A,-8.4,12.3,1
Team A,-22.2,3.9,0
Team A,-6.5,4.2,0
Team A,5.1,26.5,0
Team A,-11.4,22.1,0
Team A,1.2,1.4,1
Team A,1.5,7.3,1
Team A,22.8,0,0
Team A,-1.3,0.4,1
Team A,-0.3,14,0
Team A,1.1,1.8,0
Team A,0.8,1.9,0
Team A,-18,18.2,1
Team A,-0.2,25.8,0
Team A,15.6,20.1,1
Team A,-6.3,7.2,0
Team A,0.3,0.8,1
Team A,0.5,1.4,1
Team A,0.5,1.1,1
Team A,-9.6,3.4,0
Team A,1.6,1.2,0
Team A,-0.2,9.9,1
Team A,-0.5,1.6,0
Team A,0.3,-0.6,1
Team A,0.9,0.9,1
Team A,-9.9,2.9,0
Team A,-1.3,-0.4,1
Team A,-0.4,3.9,0
Team A,0.2,0.8,0
Team A,-5.7,11.4,0
Team A,15.4,22.8,1
Team A,-18.1,10.9,0
Team A,-1.1,21.4,0
Team A,-9.6,2.5,0
Team A,9.5,18.1,1
Team A,1.4,3.4,1
Team A,0.3,0.3,0
Team A,-0.1,2.5,1
Team A,19.3,15.7,0
Team A,12,-0.7,0
Team A,14.3,1.9,1
Team A,15.3,20.5,0
Team A,-2.9,3.2,0
Team A,-5.9,24,0
Team A,-16.9,0.6,0
Team A,-1.3,21.5,0
Team A,20.4,0.9,0
Team A,15.2,19.9,1
Team A,-11.4,14.9,0
Team A,-0.4,2.4,1
Team A,10.4,23.6,0
Team A,9.5,0.3,0
Team A,-2.5,1.7,0
Team A,-5,2.9,0
Team A,-10.9,24.5,1
Team A,-2.7,24.5,0
Team A,4.2,10.3,1
Team A,-9,1.2,1
Team A,1.4,-0.1,0
Team A,2.4,6.6,1
Team B,-2.9,16.7,0
Team B,10.3,24.7,0
Team B,-3.5,5.3,1
Team B,0.9,1.5,0
Team B,22.8,-1.5,0
Team B,13.3,11.8,0
Team B,-10.9,15.2,0
Team B,5.5,20.4,0
Team B,0.3,1.2,1
Team B,8.5,28.7,0
Team B,-0.5,0.3,1
Team B,-14.7,20.7,0
Team B,-10.4,24.6,0
Team B,-1.1,0.9,1
Team B,-4.5,10.3,0
Team B,0,-0.5,1
Team B,-1,1.2,1
Team B,0.7,-0.3,1
Team B,-8.6,18.2,0
Team B,2.4,2.3,0
Team B,-6.3,13.3,0
Team B,-0.6,1.1,1
Team B,-4.9,-0.4,1
Team B,-2.9,1.7,0
Team B,-3.8,0.4,0
Team B,-12.8,16.3,0
Team B,5.1,20.4,0
Team B,12.2,15.7,1
Team B,1,25,0
Team B,1.3,0,0
Team B,-14.5,21.3,0
Team B,-0.9,1.9,1
Team B,20.1,13.7,0
Team B,23.1,1.9,1
Team B,-20,14.6,0
Team B,12.4,21.4,1
Team B,10.8,1,0
Team B,-0.3,7.8,0
Team B,2.5,1.9,0
Team B,3.2,1.8,0
Team B,1.1,7.8,0
Team B,-23.1,0.5,0
Team B,0.6,2.1,1
Team B,-0.4,1.5,0
Team B,-1.1,1.2,0
Team B,-17,19.9,1
Team B,13.8,21.4,1
Team B,8.7,24.2,1
Team B,16.1,20.2,1
Team B,14.9,21.5,1
Team B,0,1.7,0
Team B,23.4,6.6,0
Team B,0.2,14.7,0
Team B,-0.8,10.5,0
Team B,-1.3,1.7,1
Team B,-22.3,0.4,0
Team B,23.1,3.1,1
Team B,0.8,1.2,1
Team B,-12.5,13.2,0
Team B,-3.1,0.9,1
Team B,13.1,16,0
Team B,-8.8,25.3,0
Team B,-0.1,16.3,0
Team B,-0.9,2.4,1
Team B,9.4,20.1,1
Team B,5.7,20.8,0
Team B,-2.2,5.4,0
Team B,0.9,1.6,1
Team B,-0.2,20.9,1
Team B,-1.1,0.8,1
Team B,-6.3,4.3,1
Team B,6,14.5,1
Team B,-0.5,9.6,1
Team B,-6.3,19.2,1
Team B,17.5,11.4,0
Team B,9.5,6.2,1
Team B,-10.5,22.2,0
Team B,2.7,25.6,1
Team B,-4.4,24.4,0
Team B,0.8,2.5,0
Team B,0,1.2,0
Team B,0,-0.1,1
Team B,0.7,1.2,1
Team B,-1.8,1.7,1
Team B,2.9,24.2,0
Team B,14.8,20.7,1
Team B,0.5,0.4,0
Team B,-1.1,1.5,1
Team B,-0.5,0.8,1
Team B,1.3,1.5,1
Team B,-2.8,1.1,0
Team B,-15.4,9.9,0
Team B,9.3,27.1,0
Team B,22.3,12.5,0
Team B,1.3,0.4,0
Team B,23.3,2.4,0
Team B,-0.1,0,1
Team B,0,1.7,0
Team B,15.7,21.3,1
Team B,-0.3,9.5,0
Team B,-0.1,8.8,0
Team B,0.1,1.8,1
Team B,-0.9,1.2,1
Team B,5.8,12.7,1
Team B,-1.3,0.9,0
Team B,-23.3,10.3,1
Team B,1.2,0.9,1
Team B,-1.4,1,0
Team B,10.2,15.6,1
Team B,1.3,25.1,0
Team B,7.3,25.4,0
Team B,-9.3,23.8,1
Team B,0.3,0.6,1
Team B,0.5,5.6,1
Team B,0.2,24.8,0
Team B,-13,22.6,1
Team B,-11.5,15,0
Team B,-1.4,1,0
Team B,-3.8,7.4,0
Team B,-15.6,20.1,0
Team B,-5.2,8.3,0
Team B,9.2,23.4,0
Team B,-16.9,18.8,0
Team B,-22.5,5.9,0
Team B,23.4,-1.2,0
Team B,0.9,0.2,1
Team B,2.5,0.8,0
Team B,5.3,11.3,1
Team B,15.6,19.5,1
Team B,16.6,18.2,1
Team B,-10.7,23,0
Team B,1.4,2.6,1
Team B,2,10.9,0
Team B,22.8,4.7,1
Team B,22,0.7,0
Team B,23,9.3,0
Team B,-1.5,8,0
Team B,0,11.9,1
Team B,-23.1,-2.7,1
Team B,-6.2,4.7,1
Team B,-6.6,8.4,0
Team B,22.6,8.7,1
Team B,14.8,8.6,0
Team B,9.7,4,1
Team B,-8.1,10.9,0
Team B,-0.2,1.6,0
Team B,-0.5,0.8,1
Team B,-6.7,12.5,0
Team B,4.1,17.8,1
Team B,-12.5,3,0
Team B,-5.4,4.7,0
Team B,6,15.4,1
Team B,0.8,4.5,1
Team B,-2.4,1,0
Team B,-1.9,0.6,1
Team B,0.6,6.2,0
Team B,0,-0.5,1
Team B,-0.7,8.7,0
Team B,-2.7,0.1,0
Team B,-10.1,24,1
Team B,-1.4,0.5,0
Team B,14,21,0
Team B,-23.1,8.1,0
Team B,0.3,9.8,0
Team B,-0.5,0.3,1
Team B,-0.2,0.7,1
Team B,4.8,25.5,0
Team B,-3.3,11.3,1
Team B,21,15.5,0
Team B,11.2,12.7,1
Team B,11.1,4.1,0
Team B,-7,11.7,1
Team B,13.9,21.3,0
Team B,15.8,0,0
Team B,-1.3,25.8,0
Team B,-9.2,9.3,1
Team B,-5.1,25.5,0
Team B,-9,14.7,1
Team B,-8.2,15.1,0
Team B,-8.5,14.7,1
Team B,6.2,25.5,0
Team B,-15.6,21.3,0
Team B,3.1,3.7,0
Team B,-15.1,6.1,0
Team B,3,7.6,1
Team B,-4.1,15,0
Team B,1.4,1.1,0
Team B,0.6,1.7,1
Team B,1.1,2.5,1
Team B,-13,14.5,1
Team B,-0.7,2.1,1
Team B,-20.1,19.7,0
Team B,7.2,13.8,0
Team B,-13,11.5,1
Team B,-0.6,3.1,0
Team B,-1.6,8.7,0
Team B,-3,3.9,0
Team B,19.5,16.6,0
Team B,6.3,25.1,0
Team B,-10.7,22.1,1
Team B,-4,8,0
Team B,2.2,7.8,0
Team B,-0.1,5.9,0
Team B,-11.8,21.5,1
Team B,3.8,6,0
Team B,5.9,15.1,0
Team B,-0.6,24.3,0
Team B,0.2,25.3,0
Team B,6.2,14.2,0
Team B,11.4,23.1,1
Team B,-1.8,25.7,0
Team B,-5.1,26.2,0
Team B,-8.9,23.9,0
Team B,7.9,25.4,1
Team B,0.6,21.3,1
Team B,2.7,11.6,0
Team B,15.6,23.7,0
Team B,-15,22.2,1
Team B,-4.3,26.4,0
Team B,-0.5,2.2,0
Team B,3.5,7.6,0
Team B,0.2,8.8,0
Team B,-0.6,0.7,1
Team B,-0.3,3.6,0
